factor,factor_value,rank,word,pearson_correlation,word_count
ethnicity,Assamese,1,लेता,0.18104004622231862,6
ethnicity,Assamese,2,हों,0.165461429591782,7
ethnicity,Assamese,3,सुनाएंगी,0.1634996431347966,15
ethnicity,Assamese,4,छू,0.15691147502654473,16
ethnicity,Assamese,5,साल,0.15276196370052048,8
ethnicity,Assamese,6,परी,0.14529913541927345,18
ethnicity,Assamese,7,निकली,0.1421248493929997,9
ethnicity,Assamese,8,छुआ,0.13533300153461442,20
ethnicity,Assamese,9,सुनाएंगे,0.1330260137113156,10
ethnicity,Assamese,10,बिना,0.1266352780582419,22
ethnicity,Assamese,11,सैर,0.12511152551964924,11
ethnicity,Assamese,12,झाड़ियों,0.11813249298867487,12
ethnicity,Assamese,13,यकीन,0.11190799508563619,13
ethnicity,Assamese,14,चोटी,0.11190799508563619,13
ethnicity,Assamese,15,उड़ती,0.1088684770853294,27
ethnicity,Assamese,16,अपना,0.1088684770853294,27
ethnicity,Assamese,17,मिलता,0.10121406479773125,15
ethnicity,Assamese,18,धन्यवाद,0.10061233568058431,198
ethnicity,Assamese,19,असली,0.09897465657731816,69
ethnicity,Assamese,20,समझदार,0.09751406400468507,31
ethnicity,Awadhi,1,रहोगी,0.2561252266283749,7
ethnicity,Awadhi,2,काली,0.20085883659477252,5
ethnicity,Awadhi,3,बनोगी,0.1810400462223186,6
ethnicity,Awadhi,4,माफी,0.16546142959178198,7
ethnicity,Awadhi,5,ठान,0.14529914928717763,18
ethnicity,Awadhi,6,खड़े,0.1421248493929997,9
ethnicity,Awadhi,7,खुली,0.12511153311942017,11
ethnicity,Awadhi,8,खेलोगी,0.12511152551964924,11
ethnicity,Awadhi,9,पहुँचा,0.1165103344367037,40
ethnicity,Awadhi,10,पीले,0.11190799508563619,13
ethnicity,Awadhi,11,सबकी,0.11190799508563619,13
ethnicity,Awadhi,12,शाम,0.11061334275519295,82
ethnicity,Awadhi,13,मेरा,0.1088684770853294,27
ethnicity,Awadhi,14,रहेगा,0.1088684770853294,27
ethnicity,Awadhi,15,भर,0.10782893272066768,63
ethnicity,Awadhi,16,ली,0.10628682662714403,134
ethnicity,Awadhi,17,देखकर,0.10283430814220666,138
ethnicity,Awadhi,18,खोजता,0.10121406479773125,15
ethnicity,Awadhi,19,होकर,0.10031639324857318,141
ethnicity,Awadhi,20,पूरे,0.09985745365086342,48
ethnicity,Bengali,1,भागी,0.20085883659477252,5
ethnicity,Bengali,2,बैठती,0.18104006106022183,6
ethnicity,Bengali,3,कूदती,0.15276196370052048,8
ethnicity,Bengali,4,तोड़ना,0.15276196370052045,8
ethnicity,Bengali,5,जारी,0.1508699680015686,17
ethnicity,Bengali,6,शरारती,0.14212484939299974,9
ethnicity,Bengali,7,चढ़कर,0.14212484939299974,9
ethnicity,Bengali,8,चमकीली,0.14134060962476824,31
ethnicity,Bengali,9,गिनते,0.13302601371131556,10
ethnicity,Bengali,10,देगा,0.13302601371131556,10
ethnicity,Bengali,11,बातों,0.12511152551964924,11
ethnicity,Bengali,12,सबका,0.1251115255196492,11
ethnicity,Bengali,13,टॉमी,0.11894021104604593,24
ethnicity,Bengali,14,होंगी,0.11813250673905747,12
ethnicity,Bengali,15,ज़रूरी,0.11813250673905744,12
ethnicity,Bengali,16,मौका,0.11813249298867487,12
ethnicity,Bengali,17,बचा,0.11813249298867487,12
ethnicity,Bengali,18,बैठी,0.1154061346029353,25
ethnicity,Bengali,19,गिनना,0.11205445836247113,26
ethnicity,Bengali,20,खुशबू,0.11197220436333384,42
ethnicity,Bhil,1,सलाह,0.2008588365947725,5
ethnicity,Bhil,2,विदा,0.18104004622231862,6
ethnicity,Bhil,3,कार्य,0.1810400462223186,6
ethnicity,Bhil,4,रीमा,0.1810400462223186,6
ethnicity,Bhil,5,खोल,0.16546142959178198,7
ethnicity,Bhil,6,मनाईं,0.15276196370052048,8
ethnicity,Bhil,7,लेती,0.15276196370052045,8
ethnicity,Bhil,8,देखी,0.14295952658287814,61
ethnicity,Bhil,9,गीत,0.1421248493929997,9
ethnicity,Bhil,10,जाऊँगा,0.14134059924878933,31
ethnicity,Bhil,11,गाने,0.13533300153461436,20
ethnicity,Bhil,12,लाए,0.1330260137113156,10
ethnicity,Bhil,13,आपको,0.13302601371131556,10
ethnicity,Bhil,14,रुक,0.13302601371131556,10
ethnicity,Bhil,15,मांगी,0.12927019466726652,35
ethnicity,Bhil,16,मित्रता,0.12511152551964924,11
ethnicity,Bhil,17,उपहार,0.12511152551964924,11
ethnicity,Bhil,18,कह,0.12511151791987923,11
ethnicity,Bhil,19,डूबने,0.11813249298867486,12
ethnicity,Bhil,20,दीं,0.11813249298867486,12
ethnicity,Bhojpuri,1,बनाती,0.20085883659477258,5
ethnicity,Bhojpuri,2,रहूँगा,0.1634996431347966,15
ethnicity,Bhojpuri,3,साल,0.15276196370052048,8
